query_id,user_id,selected_ingredients,recipe_id,title,num_selected,used_count,missing_count,calories,protein,fat,carbs,sodium,cook_time,popularity,user_sim,relevance
q_0,user_104,"[""beef"", ""chicken""]",rec_1431,Recipe 1431,2,0,2,400,12.50847345132939,28.70535543038252,46.17436788387681,298.30958475299917,9,47,0.11042640692640691,0.1405652658733719
q_0,user_104,"[""beef"", ""chicken""]",rec_451,Recipe 451,2,1,1,84,0.0,16.765621324553962,42.207792782153945,552.2262783499866,39,46,0.0858066378066378,0.4036377312029238
q_0,user_104,"[""beef"", ""chicken""]",rec_963,Recipe 963,2,0,2,261,21.59177115922581,13.042808755329144,44.02246917403052,0.0,21,62,0.11044372294372293,0.18612667750685932
q_0,user_104,"[""beef"", ""chicken""]",rec_407,Recipe 407,2,1,1,265,26.77359521686422,12.249658105762759,39.78124325967609,202.7545186100968,17,46,0.08650865800865802,0.4167659725741585
q_0,user_104,"[""beef"", ""chicken""]",rec_77,Recipe 77,2,1,1,261,3.677819205714812,22.809643209181992,18.83229194305896,246.12568750857537,71,52,0.11230788655788655,0.36056051936305855
q_0,user_104,"[""beef"", ""chicken""]",rec_1205,Recipe 1205,2,2,0,450,6.563756367152218,27.411650473265386,34.34833233766033,273.2025914148635,7,41,0.0946626984126984,0.7290648235397048
q_0,user_104,"[""beef"", ""chicken""]",rec_1513,Recipe 1513,2,0,2,664,8.451771322737178,13.241991465715047,15.010470229161982,204.12940444646526,25,57,0.10168531468531468,0.12497262104284074
q_0,user_104,"[""beef"", ""chicken""]",rec_790,Recipe 790,2,0,2,265,30.628536930332164,43.378277453883,22.784863965963606,560.2623587124024,10,53,0.08760245310245311,0.13209826177149936
q_0,user_104,"[""beef"", ""chicken""]",rec_1996,Recipe 1996,2,0,2,352,16.460486123262317,27.22495769442937,33.666844705267124,818.1773591623219,5,52,0.08299603174603173,0.03715292158205455
q_0,user_104,"[""beef"", ""chicken""]",rec_557,Recipe 557,2,0,2,138,16.036044798235455,18.310347933374892,5.576483494205519,125.15754502559702,35,56,0.10638203463203463,0.06931523675916487
q_0,user_104,"[""beef"", ""chicken""]",rec_1157,Recipe 1157,2,0,2,252,0.0,13.45450460163617,42.63185921123733,571.511767910895,25,44,0.09474603174603174,0.02837765581701416
q_0,user_104,"[""beef"", ""chicken""]",rec_873,Recipe 873,2,0,2,449,18.807756437340956,29.197484789904266,25.730513637859225,0.0,14,45,0.09433080808080808,0.12804802361751372
q_0,user_104,"[""beef"", ""chicken""]",rec_1262,Recipe 1262,2,0,2,603,18.564184112878657,24.18514559157055,30.06697895743507,676.9134481680285,8,46,0.09124170274170272,0.019238120208478968
q_0,user_104,"[""beef"", ""chicken""]",rec_381,Recipe 381,2,1,1,50,28.247490065722978,28.160068487744233,57.30397216002551,449.9985061171968,51,56,0.061821428571428576,0.4156176010127242
q_0,user_104,"[""beef"", ""chicken""]",rec_1971,Recipe 1971,2,0,2,532,8.752534691356214,4.5758379611133115,39.84664395903864,448.7495530747266,99,48,0.10984712509712508,0.12361595720478039
q_0,user_104,"[""beef"", ""chicken""]",rec_951,Recipe 951,2,0,2,508,17.285949398355033,15.360520305155918,64.21402506295033,394.8180285855481,21,55,0.11039502164502163,0.13492814588355193
q_0,user_104,"[""beef"", ""chicken""]",rec_903,Recipe 903,2,0,2,348,15.202932604421767,19.697473382745795,36.259327422505585,986.4133591783864,5,43,0.09401370851370854,0.04674890337979572
q_0,user_104,"[""beef"", ""chicken""]",rec_161,Recipe 161,2,2,0,166,8.27396743138684,7.665318987198944,53.89995801553749,983.9628512544297,39,49,0.08682142857142859,0.6928702802115686
q_0,user_104,"[""beef"", ""chicken""]",rec_225,Recipe 225,2,0,2,354,30.501105961089145,11.36048778579194,48.56625924946992,669.7407141062477,26,60,0.09902777777777777,0.15198650801558347
q_0,user_104,"[""beef"", ""chicken""]",rec_1807,Recipe 1807,2,1,1,434,26.34080936752976,24.073971776443706,3.692584206065092,493.8439950231096,12,47,0.07020238095238096,0.3731656366865965
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_778,Recipe 778,5,1,4,726,21.94333463338233,18.52659773378494,59.278508461111414,474.83528377902167,20,52,0.117487567987568,0.18752574357311752
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_456,Recipe 456,5,2,3,475,0.0,10.343351964767919,72.5833272980189,225.46538998238378,33,50,0.11181926406926407,0.280808522363424
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_657,Recipe 657,5,1,4,415,37.42376084702539,40.544884403285806,5.330610039276237,466.4479921398498,5,55,0.09215873015873015,0.21571098184737042
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_421,Recipe 421,5,3,2,444,18.84346431451769,22.525899273790913,53.052928143541564,58.693763034779806,30,52,0.11806290931290928,0.415607611086589
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_101,Recipe 101,5,0,5,208,31.29069437535143,19.195842262910073,30.690996351918933,665.9552237707162,52,44,0.09304581529581533,0.1522105621473136
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_1422,Recipe 1422,5,2,3,339,25.37179814541736,29.442148402518143,43.90324094283636,899.5756701834086,48,49,0.11840384615384617,0.3617935096493801
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_759,Recipe 759,5,0,5,295,6.400308098808253,32.27799987851685,49.761907627583646,930.250718729602,8,53,0.10634126984126983,0.0
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_1215,Recipe 1215,5,0,5,420,39.092970506264635,9.622951779655246,39.38687789295125,748.9580556884132,7,42,0.06260714285714285,0.10493143319064714
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_954,Recipe 954,5,0,5,286,26.636463470328415,30.59565572623397,28.89439006189341,711.4037581947887,17,55,0.0984877344877345,0.1002081708962466
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_1472,Recipe 1472,5,0,5,435,17.453920139861165,8.903906320969693,6.372462165694721,397.49176381856296,23,42,0.10178138528138528,0.14438073278820185
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_16,Recipe 16,5,2,3,251,14.33702270397228,20.996513650876413,29.930486917676014,0.0,31,42,0.07921789321789321,0.39914440370180787
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_367,Recipe 367,5,0,5,172,7.0847439823179865,22.90852800176707,21.82699408517124,185.4855451100124,6,58,0.07815873015873015,0.0
q_1,user_162,"[""beans"", ""beef"", ""butter"", ""potato"", ""mushroom""]",rec_753,Recipe 753,5,2,3,360,13.506896246296105,17.202847106796273,77.22514747961057,116.11731048099085,5,57,0.07633730158730159,0.30928860445781475
